,#,Name,Type 1,Type 2,total,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
397,362,GlalieMega Glalie,Ice,,1060,580,80,120,80,120,80,100,3
398,363,Spheal,Ice,Water,555,290,70,40,50,55,50,25,3
399,364,Sealeo,Ice,Water,775,410,90,60,70,75,70,45,3
400,365,Walrein,Ice,Water,995,530,110,80,90,95,90,65,3
401,366,Clamperl,Water,,658,345,35,64,85,74,55,32,3
402,367,Huntail,Water,,918,485,55,104,105,94,75,52,3
403,368,Gorebyss,Water,,918,485,55,84,105,114,75,52,3
404,369,Relicanth,Water,Rock,915,485,100,90,130,45,65,55,3
405,370,Luvdisc,Water,,563,330,43,30,55,40,65,97,3
406,371,Bagon,Dragon,,550,300,45,75,60,40,30,50,3
407,372,Shelgon,Dragon,,790,420,65,95,100,60,50,50,3
408,373,Salamence,Dragon,Flying,1100,600,95,135,80,110,80,100,3
409,373,SalamenceMega Salamence,Dragon,Flying,1280,700,95,145,130,120,90,120,3
410,374,Beldum,Steel,Psychic,570,300,40,55,80,35,60,30,3
411,375,Metang,Steel,Psychic,790,420,60,75,100,55,80,50,3
412,376,Metagross,Steel,Psychic,1130,600,80,135,130,95,90,70,3
413,376,MetagrossMega Metagross,Steel,Psychic,1290,700,80,145,150,105,110,110,3
414,377,Regirock,Rock,,1110,580,80,100,200,50,100,50,3
415,378,Regice,Ice,,1110,580,80,50,100,100,200,50,3
416,379,Registeel,Steel,,1110,580,80,75,150,75,150,50,3
417,380,Latias,Dragon,Psychic,1090,600,80,80,90,110,130,110,3
418,380,LatiasMega Latias,Dragon,Psychic,1290,700,80,100,120,140,150,110,3
419,381,Latios,Dragon,Psychic,1090,600,80,90,80,130,110,110,3
420,381,LatiosMega Latios,Dragon,Psychic,1290,700,80,130,100,160,120,110,3
421,382,Kyogre,Water,,1250,670,100,100,90,150,140,90,3
422,382,KyogrePrimal Kyogre,Water,,1450,770,100,150,90,180,160,90,3
423,383,Groudon,Ground,,1250,670,100,150,140,100,90,90,3
424,383,GroudonPrimal Groudon,Ground,Fire,1450,770,100,180,160,150,90,90,3
425,384,Rayquaza,Dragon,Flying,1265,680,105,150,90,150,90,95,3
426,384,RayquazaMega Rayquaza,Dragon,Flying,1445,780,105,180,100,180,100,115,3
427,385,Jirachi,Steel,Psychic,1100,600,100,100,100,100,100,100,3
428,386,DeoxysNormal Forme,Psychic,,1050,600,50,150,50,150,50,150,3
429,386,DeoxysAttack Forme,Psychic,,1050,600,50,180,20,180,20,150,3
430,386,DeoxysDefense Forme,Psychic,,1110,600,50,70,160,70,160,90,3
431,386,DeoxysSpeed Forme,Psychic,,1020,600,50,95,90,95,90,180,3
432,387,Turtwig,Grass,,605,318,55,68,64,45,55,31,4
433,388,Grotle,Grass,,774,405,75,89,85,55,65,36,4
434,389,Torterra,Grass,Ground,994,525,95,109,105,75,85,56,4
435,390,Chimchar,Fire,,557,309,44,58,44,58,44,61,4
436,391,Monferno,Fire,Fighting,729,405,64,78,52,78,52,81,4
437,392,Infernape,Fire,Fighting,960,534,76,104,71,104,71,108,4
438,393,Piplup,Water,,588,314,53,51,53,61,56,40,4
439,394,Prinplup,Water,,760,405,64,66,68,81,76,50,4
440,395,Empoleon,Water,Steel,1000,530,84,86,88,111,101,60,4
441,396,Starly,Normal,Flying,430,245,40,55,30,30,30,60,4
442,397,Staravia,Normal,Flying,600,340,55,75,50,40,40,80,4
443,398,Staraptor,Normal,Flying,870,485,85,120,70,50,60,100,4
444,399,Bidoof,Normal,,469,250,59,45,40,35,40,31,4
445,400,Bibarel,Normal,Water,749,410,79,85,60,55,60,71,4
446,401,Kricketot,Bug,,363,194,37,25,41,25,41,25,4
447,402,Kricketune,Bug,,703,384,77,85,51,55,51,65,4
448,403,Shinx,Electric,,481,263,45,65,34,40,34,45,4
449,404,Luxio,Electric,,666,363,60,85,49,60,49,60,4
450,405,Luxray,Electric,,976,523,80,120,79,95,79,70,4
451,406,Budew,Grass,Poison,505,280,40,30,35,50,70,55,4
452,407,Roserade,Grass,Poison,940,515,60,70,65,125,105,90,4
453,408,Cranidos,Rock,,642,350,67,125,40,30,30,58,4
454,409,Rampardos,Rock,,932,495,97,165,60,65,50,58,4
455,410,Shieldon,Rock,Steel,670,350,30,42,118,42,88,30,4
456,411,Bastiodon,Rock,Steel,960,495,60,52,168,47,138,30,4
457,412,Burmy,Bug,,412,224,40,29,45,29,45,36,4
458,413,WormadamPlant Cloak,Bug,Grass,812,424,60,59,85,79,105,36,4
459,413,WormadamSandy Cloak,Bug,Ground,812,424,60,79,105,59,85,36,4
460,413,WormadamTrash Cloak,Bug,Steel,812,424,60,69,95,69,95,36,4
461,414,Mothim,Bug,Flying,782,424,70,94,50,94,50,66,4
462,415,Combee,Bug,Flying,418,244,30,30,42,30,42,70,4
463,416,Vespiquen,Bug,Flying,908,474,70,80,102,80,102,40,4
464,417,Pachirisu,Electric,,715,405,60,45,70,45,90,95,4
465,418,Buizel,Water,,575,330,55,65,35,60,30,85,4
466,419,Floatzel,Water,,875,495,85,105,55,85,50,115,4
467,420,Cherubi,Grass,,515,275,45,35,45,62,53,35,4
468,421,Cherrim,Grass,,815,450,70,60,70,87,78,85,4
469,422,Shellos,Water,,616,325,76,48,48,57,62,34,4
470,423,Gastrodon,Water,Ground,911,475,111,83,68,92,82,39,4
471,424,Ambipom,Normal,,849,482,75,100,66,60,66,115,4
472,425,Drifloon,Ghost,Flying,626,348,90,50,34,60,44,70,4
473,426,Drifblim,Ghost,Flying,916,498,150,80,44,90,54,80,4
474,427,Buneary,Normal,,615,350,55,66,44,44,56,85,4
475,428,Lopunny,Normal,,855,480,65,76,84,54,96,105,4
476,428,LopunnyMega Lopunny,Normal,Fighting,1025,580,65,136,94,54,96,135,4
477,429,Mismagius,Ghost,,885,495,60,60,60,105,105,105,4
478,430,Honchkrow,Dark,Flying,939,505,100,125,52,105,52,71,4
479,431,Glameow,Normal,,535,310,49,55,42,42,37,85,4
480,432,Purugly,Normal,,792,452,71,82,64,64,59,112,4
481,433,Chingling,Psychic,,525,285,45,30,50,65,50,45,4
482,434,Stunky,Poison,Dark,584,329,63,63,47,41,41,74,4
483,435,Skuntank,Poison,Dark,874,479,103,93,67,71,61,84,4
484,436,Bronzor,Steel,Psychic,577,300,57,24,86,24,86,23,4
485,437,Bronzong,Steel,Psychic,967,500,67,89,116,79,116,33,4
486,438,Bonsly,Rock,,570,290,50,80,95,10,45,10,4
487,439,Mime Jr.,Psychic,Fairy,560,310,20,25,45,70,90,60,4
488,440,Happiny,Normal,,410,220,100,5,5,15,65,30,4
489,441,Chatot,Normal,Flying,731,411,76,65,45,92,42,91,4
490,442,Spiritomb,Ghost,Dark,935,485,50,92,108,92,108,35,4
491,443,Gible,Dragon,Ground,558,300,58,70,45,40,45,42,4
492,444,Gabite,Dragon,Ground,738,410,68,90,65,50,55,82,4
493,445,Garchomp,Dragon,Ground,1098,600,108,130,95,80,85,102,4
494,445,GarchompMega Garchomp,Dragon,Ground,1308,700,108,170,115,120,95,92,4
495,446,Munchlax,Normal,,775,390,135,85,40,40,85,5,4
496,447,Riolu,Fighting,,510,285,40,70,40,35,40,60,4
497,448,Lucario,Fighting,Steel,960,525,70,110,70,115,70,90,4
498,448,LucarioMega Lucario,Fighting,Steel,1138,625,70,145,88,140,70,112,4
499,449,Hippopotas,Ground,,628,330,68,72,78,38,42,32,4
500,450,Hippowdon,Ground,,1003,525,108,112,118,68,72,47,4
501,451,Skorupi,Poison,Bug,595,330,40,50,90,30,55,65,4
502,452,Drapion,Poison,Dark,905,500,70,90,110,60,75,95,4
503,453,Croagunk,Poison,Fighting,550,300,48,61,40,61,40,50,4
504,454,Toxicroak,Poison,Fighting,895,490,83,106,65,86,65,85,4
505,455,Carnivine,Grass,,862,454,74,100,72,90,72,46,4
506,456,Finneon,Water,,594,330,49,49,56,49,61,66,4
507,457,Lumineon,Water,,829,460,69,69,76,69,86,91,4
508,458,Mantyke,Water,Flying,640,345,45,20,50,60,120,50,4
509,459,Snover,Grass,Ice,628,334,60,62,50,62,60,40,4
510,460,Abomasnow,Grass,Ice,928,494,90,92,75,92,85,60,4
511,460,AbomasnowMega Abomasnow,Grass,Ice,1158,594,90,132,105,132,105,30,4
512,461,Weavile,Dark,Ice,895,510,70,120,65,45,85,125,4
513,462,Magnezone,Electric,Steel,1010,535,70,70,115,130,90,60,4
514,463,Lickilicky,Normal,,980,515,110,85,95,80,95,50,4
515,464,Rhyperior,Ground,Rock,1030,535,115,140,130,55,55,40,4
516,465,Tangrowth,Grass,,1020,535,100,100,125,110,50,50,4
517,466,Electivire,Electric,,985,540,75,123,67,95,85,95,4
518,467,Magmortar,Fire,,997,540,75,95,67,125,95,83,4
519,468,Togekiss,Fairy,Flying,1010,545,85,50,95,120,115,80,4
520,469,Yanmega,Bug,Flying,935,515,86,76,86,116,56,95,4
521,470,Leafeon,Grass,,955,525,65,110,130,60,65,95,4
522,471,Glaceon,Ice,,985,525,65,60,110,130,95,65,4
523,472,Gliscor,Ground,Flying,925,510,75,95,125,45,75,95,4
524,473,Mamoswine,Ice,Ground,980,530,110,130,80,70,60,80,4
525,474,Porygon-Z,Normal,,980,535,85,80,70,135,75,90,4
526,475,Gallade,Psychic,Fighting,956,518,68,125,65,65,115,80,4
527,475,GalladeMega Gallade,Psychic,Fighting,1126,618,68,165,95,65,115,110,4
528,476,Probopass,Rock,Steel,1010,525,60,55,145,75,150,40,4
529,477,Dusknoir,Ghost,,1005,525,45,100,135,65,135,45,4
530,478,Froslass,Ice,Ghost,850,480,70,80,70,80,70,110,4
531,479,Rotom,Electric,Ghost,789,440,50,50,77,95,77,91,4
532,479,RotomHeat Rotom,Electric,Fire,954,520,50,65,107,105,107,86,4
533,479,RotomWash Rotom,Electric,Water,954,520,50,65,107,105,107,86,4
534,479,RotomFrost Rotom,Electric,Ice,954,520,50,65,107,105,107,86,4
535,479,RotomFan Rotom,Electric,Flying,954,520,50,65,107,105,107,86,4
536,479,RotomMow Rotom,Electric,Grass,954,520,50,65,107,105,107,86,4
537,480,Uxie,Psychic,,1065,580,75,75,130,75,130,95,4
538,481,Mesprit,Psychic,,1080,580,80,105,105,105,105,80,4
539,482,Azelf,Psychic,,1045,580,75,125,70,125,70,115,4
540,483,Dialga,Steel,Dragon,1270,680,100,120,120,150,100,90,4
541,484,Palkia,Water,Dragon,1260,680,90,120,100,150,120,100,4
542,485,Heatran,Fire,Steel,1123,600,91,90,106,130,106,77,4
543,486,Regigigas,Normal,,1240,670,110,160,110,80,110,100,4
544,487,GiratinaAltered Forme,Ghost,Dragon,1270,680,150,100,120,100,120,90,4
545,487,GiratinaOrigin Forme,Ghost,Dragon,1270,680,150,120,100,120,100,90,4
546,488,Cresselia,Psychic,,1115,600,120,70,120,75,130,85,4
547,489,Phione,Water,,880,480,80,80,80,80,80,80,4
548,490,Manaphy,Water,,1100,600,100,100,100,100,100,100,4
549,491,Darkrai,Dark,,1075,600,70,90,90,135,90,125,4
550,492,ShayminLand Forme,Grass,,1100,600,100,100,100,100,100,100,4
551,492,ShayminSky Forme,Grass,Flying,1073,600,100,103,75,120,75,127,4
552,493,Arceus,Normal,,1320,720,120,120,120,120,120,120,4
553,494,Victini,Psychic,Fire,1100,600,100,100,100,100,100,100,5
554,495,Snivy,Grass,,553,308,45,45,55,45,55,63,5
555,496,Servine,Grass,,743,413,60,60,75,60,75,83,5
556,497,Serperior,Grass,,943,528,75,75,95,75,95,113,5
557,498,Tepig,Fire,,571,308,65,63,45,45,45,45,5
558,499,Pignite,Fire,Fighting,781,418,90,93,55,70,55,55,5
559,500,Emboar,Fire,Fighting,991,528,110,123,65,100,65,65,5
560,501,Oshawott,Water,,571,308,55,55,45,63,45,45,5
561,502,Dewott,Water,,766,413,75,75,60,83,60,60,5
562,503,Samurott,Water,,986,528,95,100,85,108,70,70,5
563,504,Patrat,Normal,,468,255,45,55,39,35,39,42,5
564,505,Watchog,Normal,,763,420,60,85,69,60,69,77,5
565,506,Lillipup,Normal,,495,275,45,60,45,25,45,55,5
566,507,Herdier,Normal,,680,370,65,80,65,35,65,60,5
567,508,Stoutland,Normal,,920,500,85,110,90,45,90,80,5
568,509,Purrloin,Dark,,496,281,41,50,37,50,37,66,5
569,510,Liepard,Dark,,786,446,64,88,50,88,50,106,5
570,511,Pansage,Grass,,568,316,50,53,48,53,48,64,5
571,512,Simisage,Grass,,895,498,75,98,63,98,63,101,5
572,513,Pansear,Fire,,568,316,50,53,48,53,48,64,5
573,514,Simisear,Fire,,895,498,75,98,63,98,63,101,5
574,515,Panpour,Water,,568,316,50,53,48,53,48,64,5
575,516,Simipour,Water,,895,498,75,98,63,98,63,101,5
576,517,Munna,Psychic,,560,292,76,25,45,67,55,24,5
577,518,Musharna,Psychic,,945,487,116,55,85,107,95,29,5
578,519,Pidove,Normal,Flying,485,264,50,55,50,36,30,43,5
579,520,Tranquill,Normal,Flying,651,358,62,77,62,50,42,65,5
580,521,Unfezant,Normal,Flying,883,488,80,115,80,65,55,93,5
581,522,Blitzle,Electric,,514,295,45,60,32,50,32,76,5
582,523,Zebstrika,Electric,,878,497,75,100,63,80,63,116,5
583,524,Roggenrola,Rock,,545,280,55,75,85,25,25,15,5
584,525,Boldore,Rock,,760,390,70,105,105,50,40,20,5
585,526,Gigalith,Rock,,1005,515,85,135,130,60,80,25,5
586,527,Woobat,Psychic,Flying,554,313,55,45,43,55,43,72,5
587,528,Swoobat,Psychic,Flying,736,425,67,57,55,77,55,114,5
588,529,Drilbur,Ground,,588,328,60,85,40,30,45,68,5
589,530,Excadrill,Ground,Steel,928,508,110,135,60,50,65,88,5
590,531,Audino,Normal,,840,445,103,60,86,60,86,50,5
591,531,AudinoMega Audino,Normal,Fairy,1040,545,103,60,126,80,126,50,5
592,532,Timburr,Fighting,,575,305,75,80,55,25,35,35,5
593,533,Gurdurr,Fighting,,770,405,85,105,85,40,50,40,5
594,534,Conkeldurr,Fighting,,965,505,105,140,95,55,65,45,5
595,535,Tympole,Water,,524,294,50,50,40,50,40,64,5
596,536,Palpitoad,Water,Ground,699,384,75,65,55,65,55,69,5
597,537,Seismitoad,Water,Ground,944,509,105,95,75,85,75,74,5
598,538,Throh,Fighting,,885,465,120,100,85,30,85,45,5
599,539,Sawk,Fighting,,845,465,75,125,75,30,75,85,5
600,540,Sewaddle,Bug,Grass,578,310,45,53,70,40,60,42,5
601,541,Swadloon,Bug,Grass,718,380,55,63,90,50,80,42,5
602,542,Leavanny,Bug,Grass,908,500,75,103,80,70,80,92,5
603,543,Venipede,Bug,Poison,463,260,30,45,59,30,39,57,5
604,544,Whirlipede,Bug,Poison,673,360,40,55,99,40,79,47,5
605,545,Scolipede,Bug,Poison,858,485,60,100,89,55,69,112,5
606,546,Cottonee,Grass,Fairy,494,280,40,27,60,37,50,66,5
607,547,Whimsicott,Grass,Fairy,844,480,60,67,85,77,75,116,5
608,548,Petilil,Grass,,530,280,45,35,50,70,50,30,5
609,549,Lilligant,Grass,,870,480,70,60,75,110,75,90,5
610,550,Basculin,Water,,822,460,70,92,65,80,55,98,5
611,551,Sandile,Ground,Dark,519,292,50,72,35,35,35,65,5
612,552,Krokorok,Ground,Dark,628,351,60,82,45,45,45,74,5
613,553,Krookodile,Ground,Dark,946,519,95,117,80,65,70,92,5
614,554,Darumaka,Fire,,580,315,70,90,45,15,45,50,5
615,555,DarmanitanStandard Mode,Fire,,865,480,105,140,55,30,55,95,5
616,555,DarmanitanZen Mode,Fire,Psychic,1025,540,105,30,105,140,105,55,5
617,556,Maractus,Grass,,862,461,75,86,67,106,67,60,5
618,557,Dwebble,Bug,Rock,595,325,50,65,85,35,35,55,5
619,558,Crustle,Bug,Rock,905,475,70,95,125,65,75,45,5
620,559,Scraggy,Dark,Fighting,648,348,50,75,70,35,70,48,5
621,560,Scrafty,Dark,Fighting,918,488,65,90,115,45,115,58,5
622,561,Sigilyph,Psychic,Flying,883,490,72,58,80,103,80,97,5
623,562,Yamask,Ghost,,576,303,38,30,85,55,65,30,5
624,563,Cofagrigus,Ghost,,936,483,58,50,145,95,105,30,5
625,564,Tirtouga,Water,Rock,688,355,54,78,103,53,45,22,5
626,565,Carracosta,Water,Rock,958,495,74,108,133,83,65,32,5
627,566,Archen,Rock,Flying,732,401,55,112,45,74,45,70,5
628,567,Archeops,Rock,Flying,1024,567,75,140,65,112,65,110,5
629,568,Trubbish,Poison,,593,329,50,50,62,40,62,65,5
630,569,Garbodor,Poison,,873,474,80,95,82,60,82,75,5
631,570,Zorua,Dark,,595,330,40,65,40,80,40,65,5
632,571,Zoroark,Dark,,915,510,60,105,60,120,60,105,5
633,572,Minccino,Normal,,525,300,55,50,40,40,40,75,5
634,573,Cinccino,Normal,,825,470,75,95,60,65,60,115,5
635,574,Gothita,Psychic,,535,290,45,30,50,55,65,45,5
636,575,Gothorita,Psychic,,725,390,60,45,70,75,85,55,5
637,576,Gothitelle,Psychic,,915,490,70,55,95,95,110,65,5
638,577,Solosis,Psychic,,560,290,45,30,40,105,50,20,5
639,578,Duosion,Psychic,,710,370,65,40,50,125,60,30,5
640,579,Reuniclus,Psychic,,950,490,110,65,75,125,85,30,5
641,580,Ducklett,Water,Flying,555,305,62,44,50,44,50,55,5
642,581,Swanna,Water,Flying,848,473,75,87,63,87,63,98,5
643,582,Vanillite,Ice,,566,305,36,50,50,65,60,44,5
644,583,Vanillish,Ice,,731,395,51,65,65,80,75,59,5
645,584,Vanilluxe,Ice,,991,535,71,95,85,110,95,79,5
646,585,Deerling,Normal,Grass,595,335,60,60,50,40,50,75,5
647,586,Sawsbuck,Normal,Grass,855,475,80,100,70,60,70,95,5
648,587,Emolga,Electric,Flying,753,428,55,75,60,75,60,103,5
649,588,Karrablast,Bug,,570,315,50,75,45,40,45,60,5
650,589,Escavalier,Bug,Steel,970,495,70,135,105,60,105,20,5
651,590,Foongus,Grass,Poison,573,294,69,55,45,55,55,15,5
652,591,Amoonguss,Grass,Poison,898,464,114,85,70,85,80,30,5
653,592,Frillish,Water,Ghost,630,335,55,40,50,65,85,40,5
654,593,Jellicent,Water,Ghost,900,480,100,60,70,85,105,60,5
655,594,Alomomola,Water,,875,470,165,75,80,40,45,65,5
656,595,Joltik,Bug,Electric,573,319,50,47,50,57,50,65,5
657,596,Galvantula,Bug,Electric,836,472,70,77,60,97,60,108,5
658,597,Ferroseed,Grass,Steel,600,305,44,50,91,24,86,10,5
659,598,Ferrothorn,Grass,Steel,958,489,74,94,131,54,116,20,5
660,599,Klink,Steel,,570,300,40,55,70,45,60,30,5
661,600,Klang,Steel,,830,440,60,80,95,70,85,50,5
662,601,Klinklang,Steel,,950,520,60,100,115,70,85,90,5
663,602,Tynamo,Electric,,490,275,35,55,40,45,40,60,5
664,603,Eelektrik,Electric,,770,405,65,85,70,75,70,40,5
665,604,Eelektross,Electric,,980,515,85,115,80,105,80,50,5
666,605,Elgyem,Psychic,,640,335,55,55,55,85,55,30,5
667,606,Beheeyem,Psychic,,930,485,75,75,75,125,95,40,5
668,607,Litwick,Ghost,Fire,530,275,50,30,55,65,55,20,5
669,608,Lampent,Ghost,Fire,685,370,60,40,60,95,60,55,5
670,609,Chandelure,Ghost,Fire,960,520,60,55,90,145,90,80,5
671,610,Axew,Dragon,,583,320,46,87,60,30,40,57,5
672,611,Fraxure,Dragon,,753,410,66,117,70,40,50,67,5
673,612,Haxorus,Dragon,,983,540,76,147,90,60,70,97,5
674,613,Cubchoo,Ice,,570,305,55,70,40,60,40,40,5
675,614,Beartic,Ice,,920,485,95,110,80,70,80,50,5
676,615,Cryogonal,Ice,,865,485,70,50,30,95,135,105,5
677,616,Shelmet,Bug,,585,305,50,40,85,40,65,25,5
678,617,Accelgor,Bug,,845,495,80,70,40,100,60,145,5
679,618,Stunfisk,Ground,Electric,910,471,109,66,84,81,99,32,5
680,619,Mienfoo,Fighting,,635,350,45,85,50,55,50,65,5
681,620,Mienshao,Fighting,,915,510,65,125,60,95,60,105,5
682,621,Druddigon,Dragon,,922,485,77,120,90,60,90,48,5
683,622,Golett,Ground,Ghost,571,303,59,74,50,35,50,35,5
684,623,Golurk,Ground,Ghost,911,483,89,124,80,55,80,55,5
685,624,Pawniard,Dark,Steel,620,340,45,85,70,40,40,60,5
686,625,Bisharp,Dark,Steel,910,490,65,125,100,60,70,70,5
687,626,Bouffalant,Normal,,925,490,95,110,95,40,95,55,5
688,627,Rufflet,Normal,Flying,640,350,70,83,50,37,50,60,5
689,628,Braviary,Normal,Flying,940,510,100,123,75,57,75,80,5
690,629,Vullaby,Dark,Flying,680,370,70,55,75,45,65,60,5
691,630,Mandibuzz,Dark,Flying,940,510,110,65,105,55,95,80,5
692,631,Heatmor,Fire,,903,484,85,97,66,105,66,65,5
693,632,Durant,Bug,Steel,859,484,58,109,112,48,48,109,5
694,633,Deino,Dark,Dragon,562,300,52,65,50,45,50,38,5
695,634,Zweilous,Dark,Dragon,782,420,72,85,70,65,70,58,5
696,635,Hydreigon,Dark,Dragon,1102,600,92,105,90,125,90,98,5
697,636,Larvesta,Bug,Fire,660,360,55,85,55,50,55,60,5
698,637,Volcarona,Bug,Fire,1000,550,85,60,65,135,105,100,5
699,638,Cobalion,Steel,Fighting,1052,580,91,90,129,90,72,108,5
700,639,Terrakion,Rock,Fighting,1052,580,91,129,90,72,90,108,5
701,640,Virizion,Grass,Fighting,1052,580,91,90,72,90,129,108,5
702,641,TornadusIncarnate Forme,Flying,,1049,580,79,115,70,125,80,111,5
703,641,TornadusTherian Forme,Flying,,1039,580,79,100,80,110,90,121,5
704,642,ThundurusIncarnate Forme,Electric,Flying,1049,580,79,115,70,125,80,111,5
705,642,ThundurusTherian Forme,Electric,Flying,1059,580,79,105,70,145,80,101,5
706,643,Reshiram,Dragon,Fire,1270,680,100,120,100,150,120,90,5
707,644,Zekrom,Dragon,Electric,1270,680,100,150,120,120,100,90,5
708,645,LandorusIncarnate Forme,Ground,Flying,1099,600,89,125,90,115,80,101,5
709,645,LandorusTherian Forme,Ground,Flying,1109,600,89,145,90,105,80,91,5
710,646,Kyurem,Dragon,Ice,1225,660,125,130,90,130,90,95,5
711,646,KyuremBlack Kyurem,Dragon,Ice,1305,700,125,170,100,120,90,95,5
712,646,KyuremWhite Kyurem,Dragon,Ice,1305,700,125,120,90,170,100,95,5
713,647,KeldeoOrdinary Forme,Water,Fighting,1052,580,91,72,90,129,90,108,5
714,647,KeldeoResolute Forme,Water,Fighting,1052,580,91,72,90,129,90,108,5
715,648,MeloettaAria Forme,Normal,Psychic,1110,600,100,77,77,128,128,90,5
716,648,MeloettaPirouette Forme,Normal,Fighting,1072,600,100,128,90,77,77,128,5
717,649,Genesect,Bug,Steel,1101,600,71,120,95,120,95,99,5
718,650,Chespin,Grass,,588,313,56,61,65,48,45,38,6
719,651,Quilladin,Grass,,753,405,61,78,95,56,58,57,6
720,652,Chesnaught,Grass,Fighting,996,530,88,107,122,74,75,64,6
721,653,Fennekin,Fire,,554,307,40,45,40,62,60,60,6
722,654,Braixen,Fire,,745,409,59,59,58,90,70,73,6
723,655,Delphox,Fire,Psychic,964,534,75,69,72,114,100,104,6
724,656,Froakie,Water,,557,314,41,56,40,62,44,71,6
725,657,Frogadier,Water,,713,405,54,63,52,83,56,97,6
726,658,Greninja,Water,Dark,938,530,72,95,67,103,71,122,6
727,659,Bunnelby,Normal,,417,237,38,36,38,32,36,57,6
728,660,Diggersby,Normal,Ground,768,423,85,56,77,50,77,78,6
729,661,Fletchling,Normal,Flying,494,278,45,50,43,40,38,62,6
730,662,Fletchinder,Fire,Flying,680,382,62,73,55,56,52,84,6
731,663,Talonflame,Fire,Flying,872,499,78,81,71,74,69,126,6
732,664,Scatterbug,Bug,,365,200,38,35,40,27,25,35,6
733,665,Spewpa,Bug,,397,213,45,22,60,27,30,29,6
734,666,Vivillon,Bug,Flying,733,411,80,52,50,90,50,89,6
735,667,Litleo,Fire,Normal,666,369,62,50,58,73,54,72,6
736,668,Pyroar,Fire,Normal,908,507,86,68,72,109,66,106,6
737,669,Flabébé,Fairy,,564,303,44,38,39,61,79,42,6
738,670,Floette,Fairy,,690,371,54,45,47,75,98,52,6
739,671,Florges,Fairy,,1029,552,78,65,68,112,154,75,6
740,672,Skiddo,Grass,,648,350,66,65,48,62,57,52,6
741,673,Gogoat,Grass,,994,531,123,100,62,97,81,68,6
742,674,Pancham,Fighting,,653,348,67,82,62,46,48,43,6
743,675,Pangoro,Fighting,Dark,932,495,95,124,78,69,71,58,6
744,676,Furfrou,Normal,,842,472,75,80,60,65,90,102,6
745,677,Espurr,Psychic,,642,355,62,48,54,63,60,68,6
746,678,MeowsticMale,Psychic,,828,466,74,48,76,83,81,104,6
747,678,MeowsticFemale,Psychic,,828,466,74,48,76,83,81,104,6
748,679,Honedge,Steel,Ghost,622,325,45,80,100,35,37,28,6
749,680,Doublade,Steel,Ghost,861,448,59,110,150,45,49,35,6
750,681,AegislashBlade Forme,Steel,Ghost,980,520,60,150,50,150,50,60,6
751,681,AegislashShield Forme,Steel,Ghost,980,520,60,50,150,50,150,60,6
752,682,Spritzee,Fairy,,659,341,78,52,60,63,65,23,6
753,683,Aromatisse,Fairy,,895,462,101,72,72,99,89,29,6
754,684,Swirlix,Fairy,,633,341,62,48,66,59,57,49,6
755,685,Slurpuff,Fairy,,888,480,82,80,86,85,75,72,6
756,686,Inkay,Dark,Psychic,531,288,53,54,53,37,46,45,6
757,687,Malamar,Dark,Psychic,891,482,86,92,88,68,75,73,6
758,688,Binacle,Rock,Water,562,306,42,52,67,39,56,50,6
759,689,Barbaracle,Rock,Water,932,500,72,105,115,54,86,68,6
760,690,Skrelp,Poison,Water,610,320,50,60,60,60,60,30,6
761,691,Dragalge,Poison,Dragon,944,494,65,75,90,97,123,44,6
762,692,Clauncher,Water,,616,330,50,53,62,58,63,44,6
763,693,Clawitzer,Water,,941,500,71,73,88,120,89,59,6
764,694,Helioptile,Electric,Normal,508,289,44,38,33,61,43,70,6
765,695,Heliolisk,Electric,Normal,853,481,62,55,52,109,94,109,6
766,696,Tyrunt,Rock,Dragon,676,362,58,89,77,45,45,48,6
767,697,Tyrantrum,Rock,Dragon,971,521,82,121,119,69,59,71,6
768,698,Amaura,Rock,Ice,678,362,77,59,50,67,63,46,6
769,699,Aurorus,Rock,Ice,984,521,123,77,72,99,92,58,6
770,700,Sylveon,Fairy,,990,525,95,65,65,110,130,60,6
771,701,Hawlucha,Fighting,Flying,882,500,78,92,75,74,63,118,6
772,702,Dedenne,Electric,Fairy,761,431,67,58,57,81,67,101,6
773,703,Carbink,Rock,Fairy,950,500,50,50,150,50,150,50,6
774,704,Goomy,Dragon,,560,300,45,50,35,55,75,40,6
775,705,Sliggoo,Dragon,,844,452,68,75,53,83,113,60,6
776,706,Goodra,Dragon,,1120,600,90,100,70,110,150,80,6
777,707,Klefki,Steel,Fairy,865,470,57,80,91,80,87,75,6
778,708,Phantump,Ghost,Grass,580,309,43,70,48,50,60,38,6
779,709,Trevenant,Ghost,Grass,892,474,85,110,76,65,82,56,6
780,710,PumpkabooAverage Size,Ghost,Grass,619,335,49,66,70,44,55,51,6
781,710,PumpkabooSmall Size,Ghost,Grass,614,335,44,66,70,44,55,56,6
782,710,PumpkabooLarge Size,Ghost,Grass,624,335,54,66,70,44,55,46,6
783,710,PumpkabooSuper Size,Ghost,Grass,629,335,59,66,70,44,55,41,6
784,711,GourgeistAverage Size,Ghost,Grass,904,494,65,90,122,58,75,84,6
785,711,GourgeistSmall Size,Ghost,Grass,889,494,55,85,122,58,75,99,6
786,711,GourgeistLarge Size,Ghost,Grass,919,494,75,95,122,58,75,69,6
787,711,GourgeistSuper Size,Ghost,Grass,934,494,85,100,122,58,75,54,6
